iter	TotalF1	MultiClass
0	0.4877979332	1.588228361
1	0.4865128102	1.464770162
2	0.478201141	1.377510342
3	0.4849706069	1.316695974
4	0.4582799116	1.265905257
5	0.486398513	1.227908504
6	0.4651365031	1.201700668
7	0.4657390646	1.175125682
8	0.4728858175	1.155119203
9	0.4972147955	1.137502249
10	0.4974285121	1.122956719
11	0.4965682706	1.112491162
12	0.4996830049	1.099659056
13	0.5017606754	1.089597845
14	0.5074250714	1.08078139
15	0.5078994595	1.073566096
16	0.5061454066	1.067343207
17	0.5082050045	1.060031335
18	0.5095322789	1.053667842
19	0.5102978757	1.047723208
20	0.5116363453	1.042689342
21	0.5175392733	1.038432972
22	0.5127320578	1.035183194
23	0.5131499062	1.032498526
24	0.5140100269	1.028838921
25	0.5150599288	1.024817896
26	0.5157577887	1.021501446
27	0.5178216469	1.018252589
28	0.5182085623	1.01539636
29	0.5199274755	1.012157108
30	0.5206545537	1.010182265
31	0.521751593	1.00857281
32	0.5227243475	1.00606638
33	0.5231906871	1.004123687
34	0.5241167332	1.002234139
35	0.5250301565	1.000684331
36	0.5267772787	0.9986566398
37	0.5278900923	0.9966361117
38	0.5293196852	0.9946784854
39	0.5323994239	0.9919430233
40	0.5338016115	0.9910689629
41	0.5348727296	0.9885918364
42	0.5356303511	0.9867173788
43	0.5363342487	0.9849781888
44	0.5372814441	0.9836110525
45	0.5379907208	0.9826422887
46	0.5376880471	0.9819034476
47	0.5385380307	0.9808171692
48	0.5389105798	0.980116323
49	0.5394308175	0.9789902805
50	0.5405292044	0.9778662973
51	0.5409872004	0.9763547882
52	0.541679387	0.9751685455
53	0.5420414041	0.9740008462
54	0.5426724453	0.9731118425
55	0.5430286729	0.9722393518
56	0.5434085517	0.9714265625
57	0.5444721528	0.9700879155
58	0.5451466067	0.9689981438
59	0.5457215601	0.9682309855
60	0.5462999075	0.9674914035
61	0.5461910193	0.9663904147
62	0.5466141655	0.9654607071
63	0.5476433999	0.9645697477
64	0.5483179986	0.9636661644
65	0.5487436551	0.9630380599
66	0.5490347459	0.9622665032
67	0.5497109604	0.9611392535
68	0.5512434459	0.9600772924
69	0.5517938955	0.9593079882
70	0.5521059417	0.9584856676
71	0.5522763485	0.9580398128
72	0.551904282	0.9572732312
73	0.5522659437	0.9568474742
74	0.5525495749	0.9563195956
75	0.5528288446	0.9556826525
76	0.5533117177	0.955032963
77	0.5537355716	0.9545435749
78	0.5540830413	0.9538867215
79	0.554212111	0.9531758105
80	0.5544618951	0.9526518837
81	0.5559824892	0.9512331349
82	0.556204412	0.9505271227
83	0.5565381448	0.9487230112
84	0.5580744264	0.9481761545
85	0.558260961	0.9469452652
86	0.5586451077	0.9461151202
87	0.5591571847	0.9451841589
88	0.5601759776	0.9442762441
89	0.5597794015	0.9437142224
90	0.5603199395	0.9426148544
91	0.5608149402	0.9421145281
92	0.5610215424	0.9413741277
93	0.5612717926	0.9404655358
94	0.5615153038	0.9397613186
95	0.5626438418	0.9392405264
96	0.5630375382	0.9385471878
97	0.5631491095	0.9380946123
98	0.5635811841	0.9374906023
99	0.563536184	0.9369735622
100	0.5641160679	0.9365972134
101	0.5642991299	0.9361353422
102	0.5648151755	0.9353179017
103	0.5649035943	0.9347663329
104	0.5652506095	0.9342785245
105	0.5655906666	0.9337331564
106	0.5656940226	0.9334420629
107	0.5657891159	0.9331642146
108	0.5660737768	0.9325918082
109	0.5664297014	0.9319042967
110	0.5668992663	0.9314143709
111	0.5669783893	0.9308945309
112	0.5672247245	0.9304316951
113	0.5677606497	0.9300057334
114	0.5684352489	0.9296454354
115	0.568813108	0.929085261
116	0.5690621765	0.9287695898
117	0.569167257	0.928434233
118	0.5693019981	0.9281195806
119	0.5695489956	0.9275398036
120	0.5694842741	0.9270748293
121	0.5698232874	0.9265520434
122	0.5698087934	0.9262416676
123	0.5700519787	0.9257821895
124	0.5700377112	0.9254434899
125	0.5702180931	0.9250899188
126	0.5703935283	0.9247145165
127	0.5706230864	0.9244084408
128	0.5707876961	0.924052928
129	0.570891556	0.9237204523
130	0.571271264	0.9233637862
131	0.5714202405	0.9229752807
132	0.5717520795	0.9226057497
133	0.5718324735	0.9223422492
134	0.5720938523	0.9220044208
135	0.5721312924	0.9217299021
136	0.5720651202	0.9214146197
137	0.5723368907	0.9209484191
138	0.5724448141	0.9206926403
139	0.5727188787	0.9203213587
140	0.5730136378	0.919958586
141	0.5735652115	0.9194733123
142	0.5736906662	0.9192015178
143	0.5738089449	0.918825143
144	0.5741200797	0.9186086965
145	0.5743477174	0.9183370607
146	0.5744056866	0.9181155276
147	0.5743357391	0.9178093341
148	0.5742904749	0.9175149392
149	0.5746324859	0.9172312444
150	0.5747252802	0.9169121251
151	0.5748659497	0.9167245768
152	0.5752243656	0.9164722745
153	0.5755810021	0.9160052911
154	0.575384985	0.9156999772
155	0.5755337164	0.9154639693
156	0.5756929921	0.9151708364
157	0.5756636979	0.9148553945
158	0.5758059726	0.914635812
159	0.5762384868	0.9141240153
160	0.5763444701	0.9138664799
161	0.5765494207	0.9136077621
162	0.5767068681	0.913318916
163	0.5768290934	0.9130567673
164	0.576965149	0.9128801088
165	0.5770184175	0.9126009679
166	0.5770804904	0.9123791666
167	0.5772834495	0.9119919724
168	0.5774226786	0.911572573
169	0.5774671422	0.9113009301
170	0.5775683339	0.9109852086
171	0.5777451163	0.9107403931
172	0.5779361507	0.9104605977
173	0.5781609252	0.9102529872
174	0.5781998414	0.9100281473
175	0.578344936	0.9097127689
176	0.5783752118	0.9094506982
177	0.578477919	0.9092841682
178	0.57867863	0.9089322877
179	0.5786959454	0.9086905882
180	0.5788052605	0.9085144762
181	0.5789932593	0.9082691212
182	0.5790692679	0.9080708673
183	0.5793777861	0.9077993032
184	0.5793674188	0.9074517995
185	0.579356927	0.9073204131
186	0.5794234188	0.9070852352
187	0.5796026498	0.9068805868
188	0.5797157344	0.9066440369
189	0.5797093795	0.9064789946
190	0.5799167465	0.9062852321
191	0.5801391942	0.9059960182
192	0.5800916066	0.9058649353
193	0.5802545225	0.9056533177
194	0.5802494631	0.9054111791
195	0.5801600152	0.9052407288
196	0.5802254836	0.9051233187
197	0.5802663153	0.9049742408
198	0.5803665759	0.9048040368
199	0.5806226179	0.9045566197
200	0.5808500735	0.9043868755
201	0.5810986385	0.9042244961
202	0.5810960176	0.9040485232
203	0.5812558153	0.9038546576
204	0.5812103732	0.9036745366
205	0.5812006723	0.9035861954
206	0.5814380025	0.9033376875
207	0.5817087723	0.9031396976
208	0.5818430081	0.9029545713
209	0.5820126079	0.9027391491
210	0.5821503496	0.9026202319
211	0.5822948587	0.9024351026
212	0.582343238	0.9023214877
213	0.5824323954	0.9020685029
214	0.5826132885	0.90188866
215	0.5827634077	0.9016660234
216	0.582687299	0.9015424497
217	0.5826875769	0.9013704068
218	0.5827816656	0.901247948
219	0.5826261167	0.9009201784
220	0.5826080601	0.9007341644
221	0.5827446536	0.9005790743
222	0.582907198	0.9003780267
223	0.5831561416	0.9001873666
224	0.5832471023	0.9000158283
225	0.5832659278	0.8998230861
226	0.5834641882	0.8996105895
227	0.5836808717	0.8993438874
228	0.5837325396	0.8991932427
229	0.5841655834	0.8990270132
230	0.5841585319	0.8987465442
231	0.5845516125	0.8985045624
232	0.5844462997	0.898368237
233	0.5847395197	0.8979295985
234	0.5848394082	0.897782858
235	0.5848337921	0.8975712186
236	0.5848060327	0.8973618971
237	0.5848920978	0.8971708878
238	0.5850119415	0.8970443689
239	0.5850604168	0.896912454
240	0.5851393948	0.8968041085
241	0.5851746593	0.896686059
242	0.5853096421	0.8965144678
243	0.5853303764	0.8963972724
244	0.585490269	0.896122073
245	0.5855430978	0.8959540396
246	0.5855597319	0.8957426311
247	0.5855947685	0.8955987862
248	0.5856931003	0.8953641244
249	0.585780427	0.895215098
250	0.5857435238	0.8949493646
251	0.5858995524	0.8947930221
252	0.586016626	0.8946017765
253	0.5860001067	0.8944911378
254	0.5860421312	0.8943542548
255	0.5860892078	0.8941468942
256	0.5860765961	0.8940295445
257	0.5862282807	0.8939101219
258	0.5862533486	0.8937755752
259	0.5865351009	0.8936400702
260	0.5866906069	0.893518144
261	0.5866593664	0.8933856791
262	0.5867434939	0.893128497
263	0.5868432178	0.8930200081
264	0.5869622857	0.892822971
265	0.5871194564	0.8927301775
266	0.5872181977	0.89254583
267	0.587280389	0.8924019102
268	0.5873469318	0.8922268517
269	0.587516642	0.891984003
270	0.5873485459	0.8918207978
271	0.5875822641	0.8917281545
272	0.5877088619	0.8916103343
273	0.5877896285	0.8914831507
274	0.5878521622	0.8912718242
275	0.5879326588	0.8911763825
276	0.5879847442	0.8909696034
277	0.5881100032	0.8908750329
278	0.5881978676	0.8906849773
279	0.5880397178	0.8905538785
280	0.5879992454	0.890371185
281	0.5881148876	0.8901421834
282	0.5881925586	0.8900096918
283	0.5882034878	0.8899181484
284	0.588313876	0.8898119418
285	0.5883701494	0.8896502463
286	0.5883583396	0.8895307473
287	0.588321203	0.8894123425
288	0.5883531714	0.8893068857
289	0.5884377448	0.8891971634
290	0.5884968447	0.8891207187
291	0.5886383858	0.8889683705
292	0.5887361085	0.8888078533
293	0.5887633362	0.8887365576
294	0.5888290553	0.8886759254
295	0.5888584211	0.8885959903
296	0.5889240415	0.8884392333
297	0.5890713378	0.8883165417
298	0.5893225008	0.8882062779
299	0.5893128171	0.8880728897
300	0.5895736962	0.8878894557
301	0.5896184938	0.8878355297
302	0.5896715367	0.8877318881
303	0.5899098129	0.8875490685
304	0.5900108969	0.887402729
305	0.5901009727	0.8873243712
306	0.5901998059	0.8872013494
307	0.5902926743	0.8870239798
308	0.5903763046	0.8868923355
309	0.5904030477	0.8868017828
310	0.5903261493	0.8866627838
311	0.5903979668	0.8865458752
312	0.5904586954	0.8863966786
313	0.5905031205	0.8861646706
314	0.5905637135	0.8860862489
315	0.5905800393	0.8859221973
316	0.5906115385	0.8857887617
317	0.5907337769	0.8857063207
318	0.5907784875	0.8854874127
319	0.5909038633	0.8853956746
320	0.591014289	0.8853261462
321	0.5911278561	0.8852290321
322	0.5911232023	0.8850769049
323	0.591192429	0.8850020564
324	0.5912433358	0.884867018
325	0.5912217182	0.8846896652
326	0.5913263866	0.8845838814
327	0.5914206706	0.8844566568
328	0.5915678948	0.8844045281
329	0.5915816399	0.8843119507
330	0.5916710552	0.8842340225
331	0.5917135234	0.8840202061
332	0.5918553282	0.8839162891
333	0.5918290019	0.8837717902
334	0.5918955146	0.8836631801
335	0.5920267363	0.8834962419
336	0.5921305598	0.8833378818
337	0.5921939462	0.8832524292
338	0.5922634358	0.8831809552
339	0.5922416729	0.8831122411
340	0.592218064	0.8829654515
341	0.5921585326	0.8828425683
342	0.5921786643	0.8826885798
343	0.5923057812	0.8825964655
344	0.5923648932	0.8825150506
345	0.5922879954	0.8824169906
346	0.5924935007	0.8823241114
347	0.5925280077	0.8822134284
348	0.59271853	0.8820871202
349	0.5926563526	0.8819683037
350	0.5926817438	0.8817569896
351	0.5927241879	0.8816574599
352	0.5928824815	0.8815550348
353	0.5928976918	0.8814420953
354	0.5932231441	0.8812392697
355	0.5932562024	0.8811567519
356	0.5932837677	0.8810319404
357	0.5934462973	0.880876701
358	0.5933923457	0.8806813051
359	0.5933527828	0.8805093946
360	0.5934431058	0.8804169035
361	0.5934622572	0.8803324518
362	0.5935293636	0.8802456857
363	0.5935605685	0.8801386209
364	0.5937229763	0.8800340076
365	0.5938302011	0.8798566883
366	0.5940263515	0.8797797559
367	0.5940950681	0.8796174525
368	0.5940441142	0.8794382092
369	0.5941212881	0.8793424354
370	0.5942100519	0.8792732491
371	0.5943808675	0.879164347
372	0.5945105244	0.8790414322
373	0.5946785458	0.8789112225
374	0.5947696096	0.8788213146
375	0.5947125957	0.8787233493
376	0.5947964227	0.8786813576
377	0.5948409254	0.8786122637
378	0.5949106857	0.87847393
379	0.5948992835	0.8783442518
380	0.594977467	0.8782172905
381	0.595047293	0.8780757046
382	0.5950908332	0.8780243527
383	0.5951518579	0.8779232899
384	0.5952830632	0.8777933133
385	0.5952873246	0.8777109318
386	0.5952448867	0.8776260354
387	0.5952483095	0.8775497358
388	0.5952896233	0.8774427649
389	0.5953527914	0.8774009815
390	0.5953305942	0.8772404468
391	0.5953391409	0.877057073
392	0.5954409598	0.8770131042
393	0.595383916	0.8769381057
394	0.5955395977	0.8767327237
395	0.5956131853	0.8766161056
396	0.5957757169	0.8765010182
397	0.5958566516	0.8763855061
398	0.5958978829	0.8762726781
399	0.5959036664	0.8761781474
400	0.5959910767	0.87607841
401	0.5961759925	0.8759559374
402	0.5961759482	0.8758704505
403	0.5962436997	0.8758054811
404	0.5962712988	0.8757294147
405	0.596340658	0.8755780409
406	0.596420058	0.8754450132
407	0.5965364702	0.8753135621
408	0.5966358661	0.8752024379
409	0.5966933417	0.8750671655
410	0.5966902009	0.8749529885
411	0.5968242949	0.8748524717
412	0.5968828485	0.8747118395
413	0.5968706487	0.8746465243
414	0.5968839675	0.8745902874
415	0.5969526347	0.8745130033
416	0.5969315193	0.8744036122
417	0.5969905275	0.8742909431
418	0.5971081747	0.8740886967
419	0.5971451512	0.8740195744
420	0.597192164	0.8738968638
421	0.5972170855	0.8737621222
422	0.5973000692	0.8736644417
