iter	Passed	Remaining
0	181563	90600075
1	183079	45586712
2	184544	30572807
3	186173	23085504
4	188183	18630204
5	190099	15651553
6	191606	13494566
7	193036	11871759
8	194574	10615144
9	195984	9603259
10	197440	8777149
11	198830	8085754
12	200351	7505481
13	201787	7004898
14	203404	6576746
15	204967	6200278
16	206377	5863541
17	207830	5565245
18	209397	5301065
19	210959	5063027
20	212439	4845647
21	213858	4646564
22	215285	4464842
23	216630	4296503
24	218028	4142548
25	219532	4002246
26	220996	3871524
27	222358	3748334
28	223777	3634453
29	225377	3530910
30	226717	3430019
31	228057	3335341
32	229403	3246411
33	230783	3163095
34	232146	3084233
35	233555	3010273
36	234915	2939623
37	236369	2873761
38	237751	2810345
39	239144	2750166
40	240478	2692187
41	241916	2638045
42	243291	2585676
43	244691	2535897
44	246048	2487821
45	247459	2442315
46	248761	2397636
47	250113	2355239
48	251440	2314281
49	252859	2275733
50	254287	2238727
51	255732	2203234
52	257049	2167942
53	258414	2134314
54	259712	2101311
55	261032	2069618
56	262368	2039113
57	263809	2010411
58	265193	1982206
59	266588	1954983
60	267916	1928118
61	269335	1902727
62	270671	1877513
63	272010	1853070
64	273394	1829637
65	274748	1806676
66	276070	1784156
67	277524	1763097
68	279034	1742951
69	280503	1723095
70	281933	1703516
71	283312	1684133
72	284767	1665696
73	286182	1647481
74	287585	1629653
75	288924	1611893
76	290066	1593482
77	291141	1575148
78	292199	1557166
79	293274	1539692
80	294371	1522737
81	295573	1506705
82	296873	1491520
83	297977	1475698
84	299017	1459906
85	300075	1444547
86	301137	1429537
87	302209	1414887
88	303297	1400620
89	304345	1386461
90	305458	1372883
91	306524	1359369
92	307573	1346047
93	308611	1332940
94	309662	1320138
95	310709	1307569
96	311769	1295291
97	312809	1283156
98	313835	1271191
99	314833	1259333
100	315857	1247793
101	316861	1236379
102	317896	1225290
103	318931	1214394
104	319950	1203622
105	321065	1193394
106	322084	1182982
107	323104	1172749
108	324179	1162881
109	325279	1153262
110	326362	1143738
111	327508	1134583
112	328568	1125273
113	329614	1116061
114	330686	1107081
115	331770	1098274
116	332780	1089358
117	333799	1080604
118	334819	1071986
119	335850	1063527
120	336890	1055217
121	337939	1047057
122	338974	1038969
123	339992	1030945
124	341015	1023045
125	342033	1015242
126	343063	1007580
127	344082	999990
128	345095	992484
129	346124	985122
130	347160	977879
131	348272	970941
132	349308	963881
133	350350	956927
134	351405	950096
135	352471	943380
136	353525	936713
137	354612	930214
138	355645	923654
139	356677	917171
140	357739	910841
141	358783	904538
142	359939	898589
143	361010	892497
144	362009	886299
145	363023	880208
146	364044	874202
147	365036	868194
148	366049	862303
149	367072	856502
150	368108	850793
151	369119	845089
152	370140	839469
153	371164	833914
154	372193	828431
155	373227	823014
156	374302	817743
157	375324	812411
158	376467	807392
159	377569	802334
160	378700	797387
161	379781	792382
162	380818	787336
163	381826	782278
164	382851	777305
165	383890	772406
166	384903	767501
167	385966	762744
168	387034	758037
169	388069	753312
170	389129	748675
171	390181	744067
172	391231	739496
173	392242	734890
174	393257	730335
175	394304	725879
176	395345	721450
177	396364	717019
178	397400	712657
179	398441	708340
180	399473	704045
181	400487	699752
182	401484	695468
183	402519	691283
184	403579	687175
185	404590	683018
186	405631	678944
187	406694	674939
188	407775	670995
189	408799	666988
190	409854	663063
191	410911	659169
192	411896	655193
193	412883	651249
194	413869	647334
195	414869	643470
196	415865	639631
197	416890	635863
198	417923	632134
199	419012	628519
200	420063	624870
201	421107	621237
202	422158	617641
203	423261	614143
204	424305	610586
205	425291	606969
206	426316	603432
207	427396	599998
208	428423	596513
209	429468	593075
210	430470	589602
211	431489	586174
212	432479	582730
213	433487	579334
214	434511	575980
215	435524	572633
216	436531	569301
217	437559	566017
218	438546	562701
219	439603	559495
220	440636	556278
221	441675	553088
222	442672	549867
223	443707	546710
224	444728	543556
225	445750	540422
226	446807	537349
227	447851	534278
228	448865	531190
229	449889	528131
230	450936	525116
231	451966	522099
232	453029	519136
233	454176	516286
234	455196	513306
235	456257	510389
236	457312	507481
237	458315	504531
238	459333	501615
239	460339	498701
240	461318	495774
241	462339	492907
242	463369	490065
243	464384	487223
244	465430	484428
245	466453	481622
246	467509	478865
247	468532	476089
248	469609	473381
249	470651	470651
250	471728	467970
251	472837	465332
252	473867	462629
253	474893	459935
254	475897	457235
255	476919	454563
256	477994	451956
257	479009	449303
258	480028	446667
259	481043	444039
260	482052	441419
261	483087	438834
262	484149	436286
263	485175	433717
264	486233	431187
265	487268	428649
266	488350	426163
267	489344	423611
268	490380	421107
269	491442	418636
270	492527	416194
271	493557	413717
272	494547	411217
273	495537	408728
274	496548	406267
275	497520	403784
276	498584	401387
277	499613	398971
278	500688	396602
279	501773	394250
280	502817	391875
281	503845	389497
282	504855	387115
283	505837	384721
284	506856	382365
285	507956	380079
286	509015	377771
287	510050	375453
288	511055	373123
289	512056	370799
290	513042	368473
291	514042	366167
292	515088	363901
293	516057	361591
294	517031	359293
295	518015	357010
296	519059	354778
297	520099	352550
298	521128	350323
299	522182	348121
300	523224	345919
301	524195	343678
302	525226	341483
303	526259	339299
304	527270	337107
305	528272	334917
306	529282	332741
307	530298	330575
308	531305	328412
309	532303	326250
310	533348	324125
311	534390	322004
312	535436	319893
313	536608	317863
314	537653	315765
315	538684	313664
316	539704	311564
317	540743	309482
318	541768	307398
319	542780	305314
320	543784	303231
321	544773	301147
322	545786	299084
323	546786	297019
324	547805	294972
325	548887	292964
326	549904	290928
327	550929	288902
328	551921	286864
329	552917	284836
330	553898	282806
331	554904	280795
332	555916	278792
333	556973	276819
334	557985	274828
335	559015	272852
336	560038	270879
337	561035	268898
338	562030	266923
339	563046	264962
340	564077	263015
341	565086	261063
342	566075	259107
343	567116	257180
344	568151	255256
345	569154	253323
346	570144	251389
347	571159	249472
348	572184	247564
349	573174	245646
350	574233	243762
351	575239	241861
352	576240	239964
353	577355	238118
354	578449	236267
355	579482	234397
356	580523	232534
357	581597	230689
358	582630	228832
359	583692	226991
360	584707	225136
361	585747	223296
362	586769	221453
363	587815	219623
364	588867	217800
365	589893	215972
366	590919	214147
367	591943	212327
368	592988	210518
369	594022	208710
370	595019	206893
371	596025	205083
372	597036	203280
373	598060	201485
374	599084	199694
375	600104	197906
376	601081	196108
377	602052	194313
378	603117	192551
379	604287	190827
380	605291	189054
381	606346	187300
382	607336	185530
383	608363	183776
384	609470	182049
385	610492	180300
386	611484	178547
387	612467	176794
388	613461	175049
389	614461	173309
390	615482	171579
391	616577	169873
392	617596	168149
393	618576	166419
394	619631	164712
395	620654	163000
396	621669	161289
397	622703	159587
398	623723	157884
399	624766	156191
400	625766	154490
401	626813	152805
402	627816	151112
403	628824	149423
404	629857	147744
405	630883	146066
406	631897	144389
407	632945	142723
408	633960	141052
409	634970	139383
410	636002	137723
411	637017	136061
412	638032	134403
413	639018	132742
414	639984	131081
415	640993	129431
416	642010	127786
417	643040	126146
418	644171	124529
419	645198	122894
420	646260	121269
421	647293	119641
422	648294	118011
423	649284	116381
424	650390	114774
425	651509	113173
426	652556	111561
427	653564	109945
428	654615	108339
429	655646	106733
430	656643	105123
431	657637	103517
432	658620	101911
433	659616	100310
434	660618	98713
435	661642	97121
436	662680	95535
437	663700	93948
438	664705	92362
439	665712	90778
440	666736	89200
441	667751	87623
442	668799	86053
443	669800	84479
444	670869	82916
445	672009	81364
446	673057	79803
447	674121	78246
448	675123	76684
449	676118	75124
450	677219	73578
451	678224	72023
452	679202	70469
453	680216	68920
454	681223	67373
455	682232	65829
456	683261	64289
457	684270	62749
458	685254	61210
459	686233	59672
460	687206	58136
461	688271	56611
462	689248	55080
463	690228	53552
464	691264	52030
